epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1073.28,0.98774,0.47541,1.03652,0.9994,0.99983,0.99496,0.76335,0.94953,0.34271,1.01595,0.003332,0.003332,0.003332
2,2133.23,0.98179,0.40502,1.05636,0.99942,0.99995,0.99497,0.77349,0.92808,0.31502,1.02174,0.00655869,0.00655869,0.00655869
3,3193.74,0.9904,0.40987,1.07206,0.9995,0.99984,0.99496,0.7737,0.92703,0.30554,1.03653,0.00967871,0.00967871,0.00967871
4,4267.83,0.97556,0.39486,1.06385,0.99968,1,0.995,0.78271,0.90924,0.27866,1.01475,0.00952,0.00952,0.00952
5,5340.84,0.96041,0.37596,1.06273,0.99972,1,0.99498,0.78467,0.90598,0.26946,1.0296,0.00936,0.00936,0.00936
6,6414.08,0.94934,0.3645,1.07343,0.99982,1,0.995,0.78476,0.90391,0.2661,1.06309,0.0092,0.0092,0.0092
7,7485.03,0.94551,0.3607,1.09604,0.99979,1,0.99499,0.78571,0.90322,0.26626,1.09344,0.00904,0.00904,0.00904
8,8556.27,0.94206,0.35682,1.07119,0.99981,1,0.99499,0.78718,0.90155,0.26442,1.07899,0.00888,0.00888,0.00888
9,9625.3,0.94116,0.35382,1.07362,0.99983,1,0.99499,0.78643,0.901,0.26363,1.07562,0.00872,0.00872,0.00872
10,10694.6,0.93828,0.35085,1.06059,0.99985,1,0.99499,0.78703,0.90045,0.26289,1.06525,0.00856,0.00856,0.00856
11,11754.5,0.93648,0.34874,1.05516,0.99989,1,0.995,0.78589,0.89979,0.26141,1.05861,0.0084,0.0084,0.0084
